sim_time, AUV_mk4?world_pose/position/z
50.772, -0.00198793
50.773, -0.00198806
50.774, -0.00198819
50.775, -0.00198832
50.776, -0.00198845
50.777, -0.00198858
50.778, -0.00198871
50.779, -0.00198884
50.78, -0.00198897
50.781, -0.00198911
50.782, -0.00198924
50.783, -0.00198937
50.784, -0.00198951
50.785, -0.00198964
50.786, -0.00198977
50.787, -0.00198991
50.788, -0.00199004
50.789, -0.00199018
50.79, -0.00199032
50.791, -0.00199045
50.792, -0.00199059
50.793, -0.00199073
50.794, -0.00199086
50.795, -0.001991
50.796, -0.00199114
50.797, -0.00199128
50.798, -0.00199142
50.799, -0.00199156
50.8, -0.0019917
50.801, -0.00199184
50.802, -0.00199198
50.803, -0.00199212
50.804, -0.00199226
50.805, -0.0019924
50.806, -0.00199255
50.807, -0.00199268
50.808, -0.00199282
50.809, -0.00199296
50.81, -0.0019931
50.811, -0.00199324
50.812, -0.00199338
50.813, -0.00199352
50.814, -0.00199365
50.815, -0.00199379
50.816, -0.00199393
50.817, -0.00199407
50.818, -0.0019942
50.819, -0.00199434
50.82, -0.00199448
50.821, -0.00199462
50.822, -0.00199475
50.823, -0.00199489
50.824, -0.00199503
50.825, -0.00199517
50.826, -0.00199531
50.827, -0.00199544
50.828, -0.00199558
50.829, -0.00199572
50.83, -0.00199585
50.831, -0.00199599
50.832, -0.00199612
50.833, -0.00199626
50.834, -0.00199639
50.835, -0.00199653
50.836, -0.00199666
50.837, -0.00199679
50.838, -0.00199693
50.839, -0.00199706
50.84, -0.00199719
50.841, -0.00199732
50.842, -0.00199746
50.843, -0.00199759
50.844, -0.00199772
50.845, -0.00199785
50.846, -0.00199798
50.847, -0.00199811
50.848, -0.00199824
50.849, -0.00199837
50.85, -0.0019985
50.851, -0.00199863
50.852, -0.00199876
50.853, -0.00199889
50.854, -0.00199902
50.855, -0.00199915
50.856, -0.00199928
50.857, -0.0019994
50.858, -0.00199953
50.859, -0.00199966
50.86, -0.00199978
50.861, -0.00199991
50.862, -0.00200004
50.863, -0.00200016
50.864, -0.00200029
50.865, -0.00200042
50.866, -0.00200054
50.867, -0.00200067
50.868, -0.00200079
50.869, -0.00200091
50.87, -0.00200104
50.871, -0.00200116
50.872, -0.00200129
50.873, -0.00200141
50.874, -0.00200153
50.875, -0.00200166
50.876, -0.00200178
50.877, -0.0020019
50.878, -0.00200202
50.879, -0.00200214
50.88, -0.00200226
50.881, -0.00200239
50.882, -0.00200251
50.883, -0.00200263
50.884, -0.00200275
50.885, -0.00200287
50.886, -0.00200299
50.887, -0.00200311
50.888, -0.00200322
50.889, -0.00200334
50.89, -0.00200346
50.891, -0.00200358
50.892, -0.0020037
50.893, -0.00200382
50.894, -0.00200393
50.895, -0.00200405
50.896, -0.00200417
50.897, -0.00200428
50.898, -0.0020044
50.899, -0.00200452
50.9, -0.00200463
50.901, -0.00200475
50.902, -0.00200486
50.903, -0.00200498
50.904, -0.00200509
50.905, -0.0020052
50.906, -0.00200532
50.907, -0.00200543
50.908, -0.00200555
50.909, -0.00200566
50.91, -0.00200577
50.911, -0.00200589
50.912, -0.002006
50.913, -0.00200612
50.914, -0.00200623
50.915, -0.00200634
